dt,user_id,initial_amount,program,deposit,total_deposits,total_deposits_for_month,current_balance,total_transaction_count,total_transaction_count_for_month,is_last_day_of_month
2017-03-12,6,884,1,329,2409,530,3293,11,3,False
2017-03-13,6,884,1,0,2409,530,3293,11,3,False
2017-03-14,6,884,1,-56,2353,474,3237,12,4,False
2017-03-15,6,884,1,0,2353,474,3237,12,4,False
2017-03-16,6,884,1,0,2353,474,3237,12,4,False
2017-03-17,6,884,1,0,2353,474,3237,12,4,False
2017-03-18,6,884,1,0,2353,474,3237,12,4,False
2017-03-19,6,884,1,0,2353,474,3237,12,4,False
2017-03-20,6,884,1,0,2353,474,3237,12,4,False
2017-03-21,6,884,1,0,2353,474,3237,12,4,False
2017-03-22,6,884,1,0,2353,474,3237,12,4,False
2017-03-23,6,884,1,0,2353,474,3237,12,4,False
2017-03-24,6,884,1,0,2353,474,3237,12,4,False
2017-03-25,6,884,1,0,2353,474,3237,12,4,False
2017-03-26,6,884,1,0,2353,474,3237,12,4,False
2017-03-27,6,884,1,177,2530,651,3414,13,5,False
2017-03-28,6,884,1,0,2530,651,3414,13,5,False
2017-03-29,6,884,1,0,2530,651,3414,13,5,False
2017-03-30,6,884,1,202,2732,853,3616,14,6,False
2017-03-31,6,884,1,0,2732,853,3616,14,6,True
2017-01-01,9,650,1,0,0,0,650,0,0,False
2017-01-02,9,650,1,0,0,0,650,0,0,False
2017-01-03,9,650,1,0,0,0,650,0,0,False
2017-01-04,9,650,1,-85,-85,-85,565,1,1,False
2017-01-05,9,650,1,0,-85,-85,565,1,1,False
2017-01-06,9,650,1,0,-85,-85,565,1,1,False
2017-01-07,9,650,1,0,-85,-85,565,1,1,False
2017-01-08,9,650,1,0,-85,-85,565,1,1,False
2017-01-09,9,650,1,0,-85,-85,565,1,1,False
2017-01-10,9,650,1,0,-85,-85,565,1,1,False
2017-01-11,9,650,1,177,92,92,742,2,2,False
2017-01-12,9,650,1,0,92,92,742,2,2,False
2017-01-13,9,650,1,291,383,383,1033,3,3,False
2017-01-14,9,650,1,0,383,383,1033,3,3,False
2017-01-15,9,650,1,0,383,383,1033,3,3,False
2017-01-16,9,650,1,0,383,383,1033,3,3,False
2017-01-17,9,650,1,0,383,383,1033,3,3,False
2017-01-18,9,650,1,141,524,524,1174,4,4,False
2017-01-19,9,650,1,0,524,524,1174,4,4,False
2017-01-20,9,650,1,0,524,524,1174,4,4,False
2017-01-21,9,650,1,0,524,524,1174,4,4,False
2017-01-22,9,650,1,0,524,524,1174,4,4,False
2017-01-23,9,650,1,0,524,524,1174,4,4,False
2017-01-24,9,650,1,0,524,524,1174,4,4,False
2017-01-25,9,650,1,0,524,524,1174,4,4,False
2017-01-26,9,650,1,0,524,524,1174,4,4,False
2017-01-27,9,650,1,0,524,524,1174,4,4,False
2017-01-28,9,650,1,0,524,524,1174,4,4,False
2017-01-29,9,650,1,0,524,524,1174,4,4,False
2017-01-30,9,650,1,0,524,524,1174,4,4,False
2017-01-31,9,650,1,0,524,524,1174,4,4,True
2017-02-01,9,650,1,0,524,0,1174,4,0,False
2017-02-02,9,650,1,0,524,0,1174,4,0,False
2017-02-03,9,650,1,0,524,0,1174,4,0,False
2017-02-04,9,650,1,0,524,0,1174,4,0,False
2017-02-05,9,650,1,0,524,0,1174,4,0,False
2017-02-06,9,650,1,0,524,0,1174,4,0,False
2017-02-07,9,650,1,0,524,0,1174,4,0,False
2017-02-08,9,650,1,0,524,0,1174,4,0,False
2017-02-09,9,650,1,0,524,0,1174,4,0,False
2017-02-10,9,650,1,198,722,198,1372,5,1,False
2017-02-11,9,650,1,0,722,198,1372,5,1,False
2017-02-12,9,650,1,0,722,198,1372,5,1,False
2017-02-13,9,650,1,74,796,272,1446,6,2,False
2017-02-14,9,650,1,0,796,272,1446,6,2,False
2017-02-15,9,650,1,0,796,272,1446,6,2,False
2017-02-16,9,650,1,0,796,272,1446,6,2,False
2017-02-17,9,650,1,0,796,272,1446,6,2,False
2017-02-18,9,650,1,0,796,272,1446,6,2,False
2017-02-19,9,650,1,240,1036,512,1686,7,3,False
2017-02-20,9,650,1,0,1036,512,1686,7,3,False
2017-02-21,9,650,1,0,1036,512,1686,7,3,False
2017-02-22,9,650,1,0,1036,512,1686,7,3,False
2017-02-23,9,650,1,0,1036,512,1686,7,3,False
2017-02-24,9,650,1,0,1036,512,1686,7,3,False
2017-02-25,9,650,1,0,1036,512,1686,7,3,False
2017-02-26,9,650,1,0,1036,512,1686,7,3,False
2017-02-27,9,650,1,0,1036,512,1686,7,3,False
2017-02-28,9,650,1,0,1036,512,1686,7,3,True
2017-03-01,9,650,1,0,1036,0,1686,7,0,False
2017-03-02,9,650,1,0,1036,0,1686,7,0,False
2017-03-03,9,650,1,0,1036,0,1686,7,0,False
2017-03-04,9,650,1,0,1036,0,1686,7,0,False
2017-03-05,9,650,1,0,1036,0,1686,7,0,False
2017-03-06,9,650,1,0,1036,0,1686,7,0,False
2017-03-07,9,650,1,0,1036,0,1686,7,0,False
2017-03-08,9,650,1,0,1036,0,1686,7,0,False
2017-03-09,9,650,1,92,1128,92,1778,8,1,False
2017-03-10,9,650,1,0,1128,92,1778,8,1,False
2017-03-11,9,650,1,0,1128,92,1778,8,1,False
2017-03-12,9,650,1,0,1128,92,1778,8,1,False
2017-03-13,9,650,1,0,1128,92,1778,8,1,False
2017-03-14,9,650,1,0,1128,92,1778,8,1,False
2017-03-15,9,650,1,0,1128,92,1778,8,1,False
2017-03-16,9,650,1,0,1128,92,1778,8,1,False
2017-03-17,9,650,1,0,1128,92,1778,8,1,False
2017-03-18,9,650,1,0,1128,92,1778,8,1,False
2017-03-19,9,650,1,0,1128,92,1778,8,1,False
2017-03-20,9,650,1,0,1128,92,1778,8,1,False
2017-03-21,9,650,1,0,1128,92,1778,8,1,False
2017-03-22,9,650,1,0,1128,92,1778,8,1,False
2017-03-23,9,650,1,0,1128,92,1778,8,1,False
2017-03-24,9,650,1,0,1128,92,1778,8,1,False
2017-03-25,9,650,1,36,1164,128,1814,9,2,False
2017-03-26,9,650,1,0,1164,128,1814,9,2,False
2017-03-27,9,650,1,56,1220,184,1870,10,3,False
2017-03-28,9,650,1,0,1220,184,1870,10,3,False
2017-03-29,9,650,1,0,1220,184,1870,10,3,False
2017-03-30,9,650,1,0,1220,184,1870,10,3,False
2017-03-31,9,650,1,0,1220,184,1870,10,3,True
2017-01-01,13,573,2,0,0,0,573,0,0,False
2017-01-02,13,573,2,0,0,0,573,0,0,False
2017-01-03,13,573,2,0,0,0,573,0,0,False
2017-01-04,13,573,2,0,0,0,573,0,0,False
2017-01-05,13,573,2,0,0,0,573,0,0,False
2017-01-06,13,573,2,0,0,0,573,0,0,False
2017-01-07,13,573,2,0,0,0,573,0,0,False
2017-01-08,13,573,2,0,0,0,573,0,0,False
2017-01-09,13,573,2,0,0,0,573,0,0,False
2017-01-10,13,573,2,-223,-223,-223,350,1,1,False
2017-01-11,13,573,2,0,-223,-223,350,1,1,False
2017-01-12,13,573,2,0,-223,-223,350,1,1,False
2017-01-13,13,573,2,0,-223,-223,350,1,1,False
2017-01-14,13,573,2,0,-223,-223,350,1,1,False
2017-01-15,13,573,2,0,-223,-223,350,1,1,False
2017-01-16,13,573,2,0,-223,-223,350,1,1,False
2017-01-17,13,573,2,0,-223,-223,350,1,1,False
2017-01-18,13,573,2,0,-223,-223,350,1,1,False
2017-01-19,13,573,2,0,-223,-223,350,1,1,False
2017-01-20,13,573,2,0,-223,-223,350,1,1,False
2017-01-21,13,573,2,0,-223,-223,350,1,1,False
2017-01-22,13,573,2,0,-223,-223,350,1,1,False
2017-01-23,13,573,2,0,-223,-223,350,1,1,False
2017-01-24,13,573,2,0,-223,-223,350,1,1,False
2017-01-25,13,573,2,0,-223,-223,350,1,1,False
2017-01-26,13,573,2,0,-223,-223,350,1,1,False
2017-01-27,13,573,2,0,-223,-223,350,1,1,False
2017-01-28,13,573,2,0,-223,-223,350,1,1,False
2017-01-29,13,573,2,0,-223,-223,350,1,1,False
2017-01-30,13,573,2,0,-223,-223,350,1,1,False
2017-01-31,13,573,2,0,-223,-223,350,1,1,True
2017-02-01,13,573,2,1171,948,1171,1521,2,1,False
2017-02-02,13,573,2,0,948,1171,1521,2,1,False
2017-02-03,13,573,2,0,948,1171,1521,2,1,False
2017-02-04,13,573,2,0,948,1171,1521,2,1,False
2017-02-05,13,573,2,0,948,1171,1521,2,1,False
2017-02-06,13,573,2,0,948,1171,1521,2,1,False
2017-02-07,13,573,2,0,948,1171,1521,2,1,False
2017-02-08,13,573,2,0,948,1171,1521,2,1,False
2017-02-09,13,573,2,0,948,1171,1521,2,1,False
2017-02-10,13,573,2,0,948,1171,1521,2,1,False
2017-02-11,13,573,2,0,948,1171,1521,2,1,False
2017-02-12,13,573,2,0,948,1171,1521,2,1,False
2017-02-13,13,573,2,4,952,1175,1525,3,2,False
2017-02-14,13,573,2,0,952,1175,1525,3,2,False
2017-02-15,13,573,2,0,952,1175,1525,3,2,False
2017-02-16,13,573,2,0,952,1175,1525,3,2,False
2017-02-17,13,573,2,0,952,1175,1525,3,2,False
2017-02-18,13,573,2,0,952,1175,1525,3,2,False
2017-02-19,13,573,2,0,952,1175,1525,3,2,False
2017-02-20,13,573,2,0,952,1175,1525,3,2,False
2017-02-21,13,573,2,0,952,1175,1525,3,2,False
2017-02-22,13,573,2,0,952,1175,1525,3,2,False
2017-02-23,13,573,2,0,952,1175,1525,3,2,False
2017-02-24,13,573,2,0,952,1175,1525,3,2,False
2017-02-25,13,573,2,0,952,1175,1525,3,2,False
2017-02-26,13,573,2,0,952,1175,1525,3,2,False
2017-02-27,13,573,2,0,952,1175,1525,3,2,False
2017-02-28,13,573,2,0,952,1175,1525,3,2,True
2017-03-01,13,573,2,0,952,0,1525,3,0,False
2017-03-02,13,573,2,0,952,0,1525,3,0,False
2017-03-03,13,573,2,878,1830,878,2403,4,1,False
2017-03-04,13,573,2,0,1830,878,2403,4,1,False
2017-03-05,13,573,2,0,1830,878,2403,4,1,False
2017-03-06,13,573,2,0,1830,878,2403,4,1,False
2017-03-07,13,573,2,0,1830,878,2403,4,1,False
2017-03-08,13,573,2,0,1830,878,2403,4,1,False
2017-03-09,13,573,2,0,1830,878,2403,4,1,False
2017-03-10,13,573,2,0,1830,878,2403,4,1,False
2017-03-11,13,573,2,0,1830,878,2403,4,1,False
2017-03-12,13,573,2,0,1830,878,2403,4,1,False
2017-03-13,13,573,2,0,1830,878,2403,4,1,False
2017-03-14,13,573,2,0,1830,878,2403,4,1,False
2017-03-15,13,573,2,0,1830,878,2403,4,1,False
2017-03-16,13,573,2,0,1830,878,2403,4,1,False
2017-03-17,13,573,2,0,1830,878,2403,4,1,False
2017-03-18,13,573,2,229,2059,1107,2632,5,2,False
2017-03-19,13,573,2,0,2059,1107,2632,5,2,False
2017-03-20,13,573,2,0,2059,1107,2632,5,2,False
2017-03-21,13,573,2,0,2059,1107,2632,5,2,False
2017-03-22,13,573,2,0,2059,1107,2632,5,2,False
2017-03-23,13,573,2,0,2059,1107,2632,5,2,False
2017-03-24,13,573,2,0,2059,1107,2632,5,2,False
2017-03-25,13,573,2,0,2059,1107,2632,5,2,False
2017-03-26,13,573,2,0,2059,1107,2632,5,2,False
2017-03-27,13,573,2,0,2059,1107,2632,5,2,False
2017-03-28,13,573,2,0,2059,1107,2632,5,2,False
2017-03-29,13,573,2,0,2059,1107,2632,5,2,False
2017-03-30,13,573,2,0,2059,1107,2632,5,2,False
2017-03-31,13,573,2,0,2059,1107,2632,5,2,True
2017-01-01,14,577,1,0,0,0,577,0,0,False
2017-01-02,14,577,1,0,0,0,577,0,0,False
2017-01-03,14,577,1,0,0,0,577,0,0,False
2017-01-04,14,577,1,0,0,0,577,0,0,False
2017-01-05,14,577,1,0,0,0,577,0,0,False
2017-01-06,14,577,1,0,0,0,577,0,0,False
2017-01-07,14,577,1,0,0,0,577,0,0,False
2017-01-08,14,577,1,0,0,0,577,0,0,False
2017-01-09,14,577,1,0,0,0,577,0,0,False
2017-01-10,14,577,1,0,0,0,577,0,0,False
2017-01-11,14,577,1,0,0,0,577,0,0,False
2017-01-12,14,577,1,0,0,0,577,0,0,False
2017-01-13,14,577,1,0,0,0,577,0,0,False
2017-01-14,14,577,1,0,0,0,577,0,0,False
2017-01-15,14,577,1,0,0,0,577,0,0,False
2017-01-16,14,577,1,0,0,0,577,0,0,False
2017-01-17,14,577,1,0,0,0,577,0,0,False
2017-01-18,14,577,1,0,0,0,577,0,0,False
2017-01-19,14,577,1,0,0,0,577,0,0,False
2017-01-20,14,577,1,0,0,0,577,0,0,False
2017-01-21,14,577,1,-72,-72,-72,505,1,1,False
2017-01-22,14,577,1,-3,-75,-75,502,2,2,False
2017-01-23,14,577,1,0,-75,-75,502,2,2,False
2017-01-24,14,577,1,0,-75,-75,502,2,2,False
2017-01-25,14,577,1,0,-75,-75,502,2,2,False
2017-01-26,14,577,1,0,-75,-75,502,2,2,False
2017-01-27,14,577,1,0,-75,-75,502,2,2,False
2017-01-28,14,577,1,0,-75,-75,502,2,2,False
2017-01-29,14,577,1,0,-75,-75,502,2,2,False
2017-01-30,14,577,1,0,-75,-75,502,2,2,False
2017-01-31,14,577,1,0,-75,-75,502,2,2,True
2017-02-01,14,577,1,253,178,253,755,3,1,False
2017-02-02,14,577,1,119,297,372,874,4,2,False
2017-02-03,14,577,1,0,297,372,874,4,2,False
2017-02-04,14,577,1,0,297,372,874,4,2,False
2017-02-05,14,577,1,0,297,372,874,4,2,False
2017-02-06,14,577,1,0,297,372,874,4,2,False
2017-02-07,14,577,1,0,297,372,874,4,2,False
2017-02-08,14,577,1,0,297,372,874,4,2,False
2017-02-09,14,577,1,0,297,372,874,4,2,False
2017-02-10,14,577,1,0,297,372,874,4,2,False
2017-02-11,14,577,1,0,297,372,874,4,2,False
2017-02-12,14,577,1,0,297,372,874,4,2,False
2017-02-13,14,577,1,0,297,372,874,4,2,False
2017-02-14,14,577,1,245,542,617,1119,5,3,False
2017-02-15,14,577,1,-56,486,561,1063,6,4,False
2017-02-16,14,577,1,0,486,561,1063,6,4,False
2017-02-17,14,577,1,0,486,561,1063,6,4,False
2017-02-18,14,577,1,0,486,561,1063,6,4,False
2017-02-19,14,577,1,86,572,647,1149,7,5,False
2017-02-20,14,577,1,0,572,647,1149,7,5,False
2017-02-21,14,577,1,0,572,647,1149,7,5,False
2017-02-22,14,577,1,0,572,647,1149,7,5,False
2017-02-23,14,577,1,359,931,1006,1508,8,6,False
2017-02-24,14,577,1,0,931,1006,1508,8,6,False
2017-02-25,14,577,1,0,931,1006,1508,8,6,False
2017-02-26,14,577,1,0,931,1006,1508,8,6,False
2017-02-27,14,577,1,0,931,1006,1508,8,6,False
2017-02-28,14,577,1,0,931,1006,1508,8,6,True
2017-03-01,14,577,1,22,953,22,1530,9,1,False
2017-03-02,14,577,1,0,953,22,1530,9,1,False
2017-03-03,14,577,1,65,1018,87,1595,10,2,False
2017-03-04,14,577,1,0,1018,87,1595,10,2,False
2017-03-05,14,577,1,0,1018,87,1595,10,2,False
2017-03-06,14,577,1,0,1018,87,1595,10,2,False
2017-03-07,14,577,1,0,1018,87,1595,10,2,False
2017-03-08,14,577,1,0,1018,87,1595,10,2,False
2017-03-09,14,577,1,0,1018,87,1595,10,2,False
2017-03-10,14,577,1,0,1018,87,1595,10,2,False
2017-03-11,14,577,1,0,1018,87,1595,10,2,False
2017-03-12,14,577,1,0,1018,87,1595,10,2,False
2017-03-13,14,577,1,0,1018,87,1595,10,2,False
2017-03-14,14,577,1,0,1018,87,1595,10,2,False
2017-03-15,14,577,1,0,1018,87,1595,10,2,False
2017-03-16,14,577,1,0,1018,87,1595,10,2,False
2017-03-17,14,577,1,0,1018,87,1595,10,2,False
2017-03-18,14,577,1,0,1018,87,1595,10,2,False
2017-03-19,14,577,1,0,1018,87,1595,10,2,False
2017-03-20,14,577,1,0,1018,87,1595,10,2,False
2017-03-21,14,577,1,380,1398,467,1975,11,3,False
2017-03-22,14,577,1,0,1398,467,1975,11,3,False
2017-03-23,14,577,1,0,1398,467,1975,11,3,False
2017-03-24,14,577,1,0,1398,467,1975,11,3,False
2017-03-25,14,577,1,0,1398,467,1975,11,3,False
2017-03-26,14,577,1,0,1398,467,1975,11,3,False
2017-03-27,14,577,1,0,1398,467,1975,11,3,False
2017-03-28,14,577,1,0,1398,467,1975,11,3,False
2017-03-29,14,577,1,0,1398,467,1975,11,3,False
2017-03-30,14,577,1,0,1398,467,1975,11,3,False
2017-03-31,14,577,1,0,1398,467,1975,11,3,True
2017-01-01,15,1091,2,0,0,0,1091,0,0,False
2017-01-02,15,1091,2,0,0,0,1091,0,0,False
2017-01-03,15,1091,2,0,0,0,1091,0,0,False
2017-01-04,15,1091,2,0,0,0,1091,0,0,False
2017-01-05,15,1091,2,0,0,0,1091,0,0,False
2017-01-06,15,1091,2,1195,1195,1195,2286,1,1,False
2017-01-07,15,1091,2,0,1195,1195,2286,1,1,False
2017-01-08,15,1091,2,0,1195,1195,2286,1,1,False
2017-01-09,15,1091,2,0,1195,1195,2286,1,1,False
2017-01-10,15,1091,2,0,1195,1195,2286,1,1,False
2017-01-11,15,1091,2,0,1195,1195,2286,1,1,False
2017-01-12,15,1091,2,-97,1098,1098,2189,2,2,False
2017-01-13,15,1091,2,0,1098,1098,2189,2,2,False
2017-01-14,15,1091,2,0,1098,1098,2189,2,2,False
2017-01-15,15,1091,2,0,1098,1098,2189,2,2,False
2017-01-16,15,1091,2,0,1098,1098,2189,2,2,False
2017-01-17,15,1091,2,0,1098,1098,2189,2,2,False
2017-01-18,15,1091,2,0,1098,1098,2189,2,2,False
2017-01-19,15,1091,2,0,1098,1098,2189,2,2,False
2017-01-20,15,1091,2,0,1098,1098,2189,2,2,False
2017-01-21,15,1091,2,0,1098,1098,2189,2,2,False
2017-01-22,15,1091,2,0,1098,1098,2189,2,2,False
2017-01-23,15,1091,2,0,1098,1098,2189,2,2,False
2017-01-24,15,1091,2,0,1098,1098,2189,2,2,False
2017-01-25,15,1091,2,0,1098,1098,2189,2,2,False
2017-01-26,15,1091,2,0,1098,1098,2189,2,2,False
2017-01-27,15,1091,2,0,1098,1098,2189,2,2,False
2017-01-28,15,1091,2,0,1098,1098,2189,2,2,False
2017-01-29,15,1091,2,0,1098,1098,2189,2,2,False
2017-01-30,15,1091,2,0,1098,1098,2189,2,2,False
2017-01-31,15,1091,2,0,1098,1098,2189,2,2,True
2017-02-01,15,1091,2,0,1098,0,2189,2,0,False
2017-02-02,15,1091,2,0,1098,0,2189,2,0,False
2017-02-03,15,1091,2,0,1098,0,2189,2,0,False
2017-02-04,15,1091,2,0,1098,0,2189,2,0,False
2017-02-05,15,1091,2,0,1098,0,2189,2,0,False
2017-02-06,15,1091,2,0,1098,0,2189,2,0,False
2017-02-07,15,1091,2,0,1098,0,2189,2,0,False
2017-02-08,15,1091,2,0,1098,0,2189,2,0,False
2017-02-09,15,1091,2,0,1098,0,2189,2,0,False
2017-02-10,15,1091,2,0,1098,0,2189,2,0,False
2017-02-11,15,1091,2,495,1593,495,2684,3,1,False
2017-02-12,15,1091,2,0,1593,495,2684,3,1,False
2017-02-13,15,1091,2,0,1593,495,2684,3,1,False
2017-02-14,15,1091,2,-26,1567,469,2658,4,2,False
2017-02-15,15,1091,2,0,1567,469,2658,4,2,False
2017-02-16,15,1091,2,0,1567,469,2658,4,2,False
2017-02-17,15,1091,2,0,1567,469,2658,4,2,False
2017-02-18,15,1091,2,0,1567,469,2658,4,2,False
2017-02-19,15,1091,2,0,1567,469,2658,4,2,False
2017-02-20,15,1091,2,0,1567,469,2658,4,2,False
2017-02-21,15,1091,2,0,1567,469,2658,4,2,False
2017-02-22,15,1091,2,0,1567,469,2658,4,2,False
2017-02-23,15,1091,2,0,1567,469,2658,4,2,False
2017-02-24,15,1091,2,0,1567,469,2658,4,2,False
2017-02-25,15,1091,2,0,1567,469,2658,4,2,False
2017-02-26,15,1091,2,0,1567,469,2658,4,2,False
2017-02-27,15,1091,2,0,1567,469,2658,4,2,False
2017-02-28,15,1091,2,0,1567,469,2658,4,2,True
2017-03-01,15,1091,2,0,1567,0,2658,4,0,False
2017-03-02,15,1091,2,0,1567,0,2658,4,0,False
2017-03-03,15,1091,2,0,1567,0,2658,4,0,False
2017-03-04,15,1091,2,0,1567,0,2658,4,0,False
2017-03-05,15,1091,2,0,1567,0,2658,4,0,False
2017-03-06,15,1091,2,0,1567,0,2658,4,0,False
2017-03-07,15,1091,2,0,1567,0,2658,4,0,False
2017-03-08,15,1091,2,0,1567,0,2658,4,0,False
2017-03-09,15,1091,2,831,2398,831,3489,5,1,False
2017-03-10,15,1091,2,0,2398,831,3489,5,1,False
2017-03-11,15,1091,2,0,2398,831,3489,5,1,False
2017-03-12,15,1091,2,0,2398,831,3489,5,1,False
2017-03-13,15,1091,2,0,2398,831,3489,5,1,False
2017-03-14,15,1091,2,0,2398,831,3489,5,1,False
2017-03-15,15,1091,2,0,2398,831,3489,5,1,False
2017-03-16,15,1091,2,0,2398,831,3489,5,1,False
2017-03-17,15,1091,2,0,2398,831,3489,5,1,False
2017-03-18,15,1091,2,0,2398,831,3489,5,1,False
2017-03-19,15,1091,2,0,2398,831,3489,5,1,False
2017-03-20,15,1091,2,0,2398,831,3489,5,1,False
2017-03-21,15,1091,2,0,2398,831,3489,5,1,False
2017-03-22,15,1091,2,0,2398,831,3489,5,1,False
2017-03-23,15,1091,2,0,2398,831,3489,5,1,False
2017-03-24,15,1091,2,0,2398,831,3489,5,1,False
2017-03-25,15,1091,2,0,2398,831,3489,5,1,False
2017-03-26,15,1091,2,0,2398,831,3489,5,1,False
2017-03-27,15,1091,2,0,2398,831,3489,5,1,False
2017-03-28,15,1091,2,0,2398,831,3489,5,1,False
2017-03-29,15,1091,2,0,2398,831,3489,5,1,False
2017-03-30,15,1091,2,0,2398,831,3489,5,1,False
2017-03-31,15,1091,2,0,2398,831,3489,5,1,True
2017-01-01,17,3395,2,0,0,0,3395,0,0,False
2017-01-02,17,3395,2,0,0,0,3395,0,0,False
2017-01-03,17,3395,2,0,0,0,3395,0,0,False
2017-01-04,17,3395,2,0,0,0,3395,0,0,False
2017-01-05,17,3395,2,0,0,0,3395,0,0,False
2017-01-06,17,3395,2,0,0,0,3395,0,0,False
2017-01-07,17,3395,2,0,0,0,3395,0,0,False
2017-01-08,17,3395,2,0,0,0,3395,0,0,False
2017-01-09,17,3395,2,0,0,0,3395,0,0,False
2017-01-10,17,3395,2,0,0,0,3395,0,0,False
2017-01-11,17,3395,2,0,0,0,3395,0,0,False
2017-01-12,17,3395,2,0,0,0,3395,0,0,False
2017-01-13,17,3395,2,0,0,0,3395,0,0,False
2017-01-14,17,3395,2,0,0,0,3395,0,0,False
2017-01-15,17,3395,2,738,738,738,4133,1,1,False
2017-01-16,17,3395,2,0,738,738,4133,1,1,False
2017-01-17,17,3395,2,634,1372,1372,4767,2,2,False
2017-01-18,17,3395,2,0,1372,1372,4767,2,2,False
2017-01-19,17,3395,2,0,1372,1372,4767,2,2,False
2017-01-20,17,3395,2,0,1372,1372,4767,2,2,False
2017-01-21,17,3395,2,0,1372,1372,4767,2,2,False
2017-01-22,17,3395,2,0,1372,1372,4767,2,2,False
2017-01-23,17,3395,2,0,1372,1372,4767,2,2,False
2017-01-24,17,3395,2,0,1372,1372,4767,2,2,False
2017-01-25,17,3395,2,0,1372,1372,4767,2,2,False
2017-01-26,17,3395,2,0,1372,1372,4767,2,2,False
2017-01-27,17,3395,2,0,1372,1372,4767,2,2,False
2017-01-28,17,3395,2,0,1372,1372,4767,2,2,False
